# w_1 w_2 DS VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
3.917371157481552846e-01 3.054219320355435197e-01 0.000000000000000000e+00 7.376437030213220947e-01 5.679603048176606189e-02 1.864311941886870395e-16 4.764391553089800668e-01 1.864311941886870456e-12 3.943139979791089988e+00 2.043046483455560391e+00 1.985329011461487880e+00 3.273694823014251298e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.917371157481552846e-01 3.054219320355435197e-01 1.000000000000000000e+00 1.765633374675479539e+00 5.677881635803771337e-02 2.969195715909644721e-17 4.763669118792164814e-01 2.969195715909645007e-13 3.943220250265136784e+00 2.043081016219756574e+00 1.985349656362264348e+00 3.273694823016622735e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.629167079520716266e-01 1.834828132992402772e+00 0.000000000000000000e+00 1.776190643685314541e+00 2.065373427168838150e-01 1.000000000000000000e+00 9.087280602686067521e-01 1.999800009999999961e+00 8.478388597720350361e+00 1.668764776624798785e+01 1.613378346393222174e+01 1.937596733469380084e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.629167079520716266e-01 1.834828132992402772e+00 1.000000000000000000e+00 9.090630233168899288e-01 2.066909670687148703e-01 1.000000000000000000e+00 9.090658620985453409e-01 1.999800009999999961e+00 8.478013262357102064e+00 1.668629175515967944e+01 1.613277246321146308e+01 1.937596733468330967e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.143965018174576187e+00 9.615626852914723743e-01 0.000000000000000000e+00 1.302812830752252404e+00 1.242094720327495821e-01 1.997269980182430626e-01 7.046681336512587990e-01 8.936166849801665535e-01 1.218109440466098015e+01 9.071522777267405857e+00 6.941357904138061308e+00 9.437785835368471155e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.143965018174576187e+00 9.615626852914723743e-01 1.000000000000000000e+00 1.863866370013164131e+00 1.241312705065948929e-01 1.998513292428003574e-01 7.044461282294888216e-01 8.938947182528095281e-01 1.218134107735392568e+01 9.071664844055433718e+00 6.939776305015231017e+00 9.437476909508800915e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.591958012919894028e+00 7.358668182978074235e-01 0.000000000000000000e+00 6.531723299180582920e-01 4.518899272954514656e-01 3.698057570273191597e-02 1.344255443002055239e+00 3.844068973681184498e-01 1.738382075496895141e+01 5.125751799836474554e+00 3.994000133885625026e+00 6.560163658147517118e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.591958012919894028e+00 7.358668182978074235e-01 1.000000000000000000e+00 1.892464449577850649e+00 4.520173191993595019e-01 3.702193562320759551e-02 1.344445155242580459e+00 3.846218339532850861e-01 1.738360996359513777e+01 5.125582729568249007e+00 3.992785767583665102e+00 6.559924839718831002e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.443129871904454076e-01 8.287068585669313259e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.373761634788075318e-08 0.000000000000000000e+00 1.675856976102108791e-04 0.000000000000000000e+00 6.596295108658136286e+00 0.000000000000000000e+00 5.569673246993608551e+00 1.110888963882469938e+00 0.000000000000000000e+00 6.647965204432365605e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.443129871904454076e-01 8.287068585669313259e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.596481321013263788e+00 1.533738624801035451e-09 5.566975326002747693e+00 1.110888912771738957e+00 0.000000000000000000e+00 6.647964766072649301e-01 0.000000000000000000e+00 0.000000000000000000e+00
