# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
5.656178859962486705e+00 6.602955791707190158e+00 1.000000000000000000e+00 -1.771771061739886299e-01 1.621422935885960648e+00 1.824222851766061915e+00 2.179736535474859944e-06 3.426471758902897013e-01 3.513009702428165348e-01 1.174102402551282287e+00 1.182997998929441907e+00 1.100858933099750558e+01 1.317120789221482013e+01 1.251927528547270363e+01 1.362407442050776041e+01 3.510466129995794327e-06 3.974309757948259582e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.259637642736352703e+00 6.812037210253880204e+00 1.000000000000000000e+00 -2.025186447421827296e-01 1.568580315717666762e+00 1.826382394797967601e+00 2.083768449300515923e-06 4.619202308031713500e-01 4.518821712079863495e-01 1.347985777737107149e+00 1.343669384774214048e+00 1.225710637050151952e+01 1.343494528500437646e+01 1.250553424076767328e+01 1.379926551499756826e+01 2.396005579238959628e-05 8.650660152512780520e-05 8.514768423763752420e-04 5.235669974504272069e-04
6.252767120383836641e+00 6.899632757498784130e+00 1.000000000000000000e+00 -2.137316932827451055e-01 1.518000516749981488e+00 1.854536096684528124e+00 1.931859990366344720e-06 4.515943168004726838e-01 4.934325818670580177e-01 1.325124015716232062e+00 1.398500971633179546e+00 1.223354258347196222e+01 1.356820231089274387e+01 1.255639707747216427e+01 1.398864345460207304e+01 2.803942607472640183e-06 1.309596952653318159e-04 4.929159892717155638e-04 0.000000000000000000e+00
6.116771291735981109e+00 6.784101155446371934e+00 0.000000000000000000e+00 -1.843880040465419867e-01 1.603934097376097601e+00 1.827289894530818248e+00 2.443258404136234936e-06 2.973340307104027080e-01 4.452808767960336200e-01 1.087663089766481628e+00 1.331710029117556982e+00 1.220005510885875388e+01 1.358496275300330680e+01 1.253329689037140859e+01 1.378716341985601623e+01 3.897904201554538788e-06 3.679510738575756962e-05 5.814489046874851470e-06 0.000000000000000000e+00
6.266648445185704297e+00 6.893581709928007228e+00 1.000000000000000000e+00 -2.129183352333903212e-01 1.517419592994651900e+00 1.856743736538567280e+00 1.944897773843389938e-06 4.692246575752798132e-01 4.905575978038159701e-01 1.348686848848969166e+00 1.394554349007648852e+00 1.224194377660343847e+01 1.354684742699565803e+01 1.255099130328397905e+01 1.397165629806805143e+01 7.497916312258686950e-06 1.422250432902784269e-04 6.119814235580883907e-04 0.000000000000000000e+00
6.275495651641989525e+00 6.985828149034025714e+00 1.000000000000000000e+00 -2.256629114532640035e-01 1.499492092325479309e+00 1.849182084767992507e+00 1.812292900547969829e-06 4.697322798893708851e-01 5.015338705574440281e-01 1.340762539919118979e+00 1.411963533375885538e+00 1.223584185006772351e+01 1.367322812365055462e+01 1.258709264410442152e+01 1.418092810569767614e+01 0.000000000000000000e+00 1.152627286005657940e-04 4.944300775643067783e-04 0.000000000000000000e+00
6.293546322052210762e+00 7.090464052848838072e+00 1.000000000000000000e+00 -2.408398135992906308e-01 1.518940648667868265e+00 1.799379724133550296e+00 1.755111893186861592e-06 4.534379853967261953e-01 4.807040924316837160e-01 1.320127035077100608e+00 1.389275527932384513e+00 1.227381226576249951e+01 1.384351392092568744e+01 1.263222785808276427e+01 1.443637319880586922e+01 0.000000000000000000e+00 4.064027385138153714e-05 2.542567326788028412e-04 0.000000000000000000e+00
6.316113929041382136e+00 7.218186599402934611e+00 1.000000000000000000e+00 -2.586345447589641910e-01 1.535491653401380940e+00 1.747239257080690500e+00 1.784498702778050982e-06 3.876132074920630721e-01 4.663391846271494057e-01 1.247743327198530761e+00 1.365751478341742819e+00 1.240271287855598459e+01 1.411069478037340374e+01 1.291532615622167057e+01 1.477256951039090360e+01 0.000000000000000000e+00 2.819830805969432517e-06 4.734142190418743511e-05 0.000000000000000000e+00
6.457663078110835286e+00 7.386284755195451801e+00 1.000000000000000000e+00 -2.815126019508999988e-01 1.512968484465363472e+00 1.724006311632836352e+00 1.695207792224780715e-06 4.176694893962384914e-01 4.602796865950148919e-01 1.289270039000419255e+00 1.356258221335989944e+00 1.265582039037099271e+01 1.439740851569271030e+01 1.342998279555978947e+01 1.516753105285583203e+01 0.000000000000000000e+00 1.249334853346151826e-06 2.036457602197339244e-05 0.000000000000000000e+00
6.714991397779894733e+00 7.583765526427916015e+00 1.000000000000000000e+00 -3.085083225709566168e-01 1.486560655126687891e+00 1.696422699731398698e+00 1.601075295313154294e-06 4.394283130047511032e-01 4.746196748897853479e-01 1.326496569420352767e+00 1.377153367503109127e+00 1.321095629356706880e+01 1.523820284118965418e+01 1.316421013187571454e+01 1.556720356752138201e+01 1.148786464324988352e-05 1.925868051162742449e-06 2.297370145618629996e-05 0.000000000000000000e+00
