# w_1 w_2 VF 
2.873765028376438657e+00 6.760909877359604359e+00 4.299392794263123818e-02
2.864509481353520570e+00 9.733072311192113801e+00 -7.468594625040195778e-01
8.437767073039823984e+00 3.495002217777877895e+00 -7.217581909286763242e-01
3.975197783224636794e+00 1.130712307930775706e+00 -8.417981262192260061e-01
5.948462238849383077e+00 2.770423516665704078e+00 -6.302748458666977971e-01
9.540300751500549126e+00 8.621978126481900873e+00 -7.020665866360431551e-01
7.788920963529981645e-01 1.053430779419641666e-01 -9.687405334409711077e-01
6.662113789209208603e-01 6.418267911693037675e+00 -7.342653172845787779e-01
7.303177189723587759e+00 8.599144605159132482e+00 5.296506367999098686e-02
3.670574338244751433e-01 4.133615980703931214e+00 -8.703922208964320895e-01
8.194771494484680119e+00 7.677874718363772111e+00 -2.028031468730016051e-01
2.408554972651846704e+00 8.258694162565799246e+00 -1.099423277477740157e-02
1.251884423089583365e+00 4.350562998615969512e+00 -2.858333598424973587e-01
1.554870148722832524e-01 5.718517601337352652e+00 -9.773575855262173206e-01
2.259844257513294874e+00 5.537957820271508069e+00 3.157693674583672561e-02
1.207852881771858566e+00 5.911193758871712944e+00 -4.575664126180685187e-01
5.957340204909956860e+00 5.973440194482468435e+00 -9.639353055974053675e-02
2.142295175302795673e+00 2.033824644954881578e+00 -5.166016923718683707e-01
3.020028955206823795e-01 6.709367899628170484e+00 -9.630376868331289586e-01
2.865220908660684795e+00 1.753000645377579270e+00 -6.730129345299480370e-01
9.678704801723657658e-01 9.374701457100650615e+00 -1.012589681133408748e+00
5.958649810357284693e+00 7.788065329227157996e+00 4.598007979059381967e-02
4.402957106230317441e-01 9.810942972814894247e+00 -1.013501743429095159e+00
9.382019132055330335e-01 9.000795569542923147e-01 -7.607575067306746597e-01
1.560551248505338995e+00 4.489710952397971827e-02 -9.466469603384579656e-01
1.283350351485009963e-02 5.715053065690928413e+00 -1.009281623087090018e+00
2.343853874505352763e+00 8.376517976028555523e+00 -4.847959919229927195e-02
6.388551860670515836e+00 8.960164281707108103e+00 5.957638737611037349e-02
8.566507760533594862e+00 9.039090551512307670e+00 2.850907364771881891e-02
2.583429722288296926e+00 6.062724556669173204e+00 3.926928769867199520e-02
2.618003960519428297e+00 6.249740351904883973e+00 3.124224279826304240e-02
1.678900781597567615e+00 1.670642652380083915e+00 -5.609393886598055268e-01
3.210986602669355872e+00 2.099054941603314628e+00 -5.997557906175723375e-01
9.728061840078025213e+00 4.271432759646785371e+00 -9.122694095976916495e-01
2.425875707045234364e+00 3.689940964222793607e+00 3.346382947452752887e-02
5.752646918199562975e+00 4.498324933533009440e-01 -1.001548867083069894e+00
5.831758998411291195e+00 4.153291108848294222e+00 -4.198527524559934054e-01
9.420844876086755804e+00 2.626436487142986831e+00 -9.495022924157534572e-01
3.200729922472258959e+00 3.690936470016608073e+00 -8.435338884577570084e-02
6.424177618587436633e-01 6.993385484051597434e-01 -8.199824114346183634e-01
4.559869220722772454e+00 8.202511159637897009e+00 3.846518520731612156e-02
2.824455469439966393e+00 1.251824976470107043e+00 -7.945271500248032304e-01
9.658160084510504007e+00 7.030541138733251039e+00 -8.837867569807468238e-01
2.535774791386563365e+00 9.162841461515276009e+00 -4.093437913403534800e-01
5.713056643247483635e+00 5.927359905320099820e+00 -5.642088499604636098e-02
9.774473192361496032e+00 7.066780144796920737e+00 -9.320775242203653832e-01
1.370860072098549765e+00 8.114549138700256847e+00 -6.120308315187150683e-01
8.468610437445173389e+00 9.162138776150658970e+00 5.966234723505059456e-02
3.800587800891214840e+00 6.621170491785200340e+00 3.933945464340382614e-02
5.806592672353621865e+00 6.700813406189996435e+00 3.395587801891664093e-02
4.664077954939284787e+00 8.441192368906801136e+00 3.275326318524784952e-02
3.533063041826903117e+00 8.903174852150741003e+00 -9.422404688954610918e-03
7.982348129861993158e+00 6.827729031151701378e+00 -3.145281478726397184e-01
7.300257491121638687e+00 4.300810380967950763e+00 -5.236263648405690141e-01
1.073739103223198210e+00 9.277333005635965080e+00 -9.957362526613304787e-01
8.071198671469113961e+00 3.756255612723408799e+00 -6.468822234183198017e-01
1.407995897904666283e+00 8.437271818917789545e+00 -6.625889440152228360e-01
9.028422408925678155e+00 5.682321405111889767e+00 -7.174599141308943828e-01
3.291954749471335706e+00 6.807724148380746243e+00 4.001208328239158618e-02
2.739296838648656696e+00 2.885018362985592333e+00 -2.550338893079509006e-01
6.102861144451964925e+00 4.336566212395128517e+00 -4.148832802279520671e-01
5.355622996172690442e+00 5.556570765530734590e+00 -7.187227441987431575e-02
3.431910515135443873e+00 7.023898928359707305e+00 3.994133420041867666e-02
5.857215649260980150e+00 4.056290505493995724e+00 -4.356092139586456025e-01
1.267142514396417452e+00 3.164485734704929332e+00 -1.857520678704451811e-01
8.422191013483503852e+00 2.133817551708010019e+00 -7.880466147191644843e-01
2.831721549236501101e+00 8.528138593212394980e+00 3.854294871834351710e-02
2.817508592732078654e+00 7.279253302852338514e+00 3.280856390150921342e-02
6.213286272959856582e+00 8.416946847873004955e+00 4.923305920930221014e-02
3.692742031115248569e+00 9.357323757055178604e+00 -3.923602867706975639e-01
7.571558886511915887e+00 7.373007667225398798e+00 -1.197444136751174559e-01
1.883173035034655829e+00 6.529411466844743828e+00 -7.466982350039597094e-02
1.024350508867151593e-01 4.867823517689111590e-01 -9.021784223776256884e-01
9.412459012754053944e+00 6.974512003460255016e+00 -7.876788011978104187e-01
5.296012192333542146e+00 3.181068843152059067e+00 -5.226747147979675656e-01
7.268635625192969574e-01 1.749846135826188809e-01 -9.649708401907004518e-01
8.520627519696011731e+00 2.722683418806517430e-01 -1.000538725540818241e+00
9.101794654371561322e+00 2.884115577912529815e+00 -8.918922022743289713e-01
1.990156538320589696e+00 1.245648360161304868e+00 -7.299522395143711595e-01
9.788327940031688712e+00 9.212811666606278038e+00 -6.992363519186814980e-01
